Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2022 12:00 AM;Jan 1, 2022 1:00 AM;43,915.50;46,522.50;2,607.00;12,367.75
Jan 1, 2022 1:00 AM;Jan 1, 2022 2:00 AM;41,535.75;44,199.25;2,663.50;11,440.25
Jan 1, 2022 2:00 AM;Jan 1, 2022 3:00 AM;40,480.75;43,404.25;2,923.50;11,761.25
Jan 1, 2022 3:00 AM;Jan 1, 2022 4:00 AM;39,564.00;42,891.75;3,327.75;12,086.75
Jan 1, 2022 4:00 AM;Jan 1, 2022 5:00 AM;39,338.25;42,900.00;3,561.75;13,142.75
Jan 1, 2022 5:00 AM;Jan 1, 2022 6:00 AM;38,826.50;41,725.25;2,898.75;14,718.00
Jan 1, 2022 6:00 AM;Jan 1, 2022 7:00 AM;38,413.00;40,750.25;2,337.25;14,621.75
Jan 1, 2022 7:00 AM;Jan 1, 2022 8:00 AM;39,076.25;40,990.00;1,913.75;16,178.75
Jan 1, 2022 8:00 AM;Jan 1, 2022 9:00 AM;40,299.25;42,011.00;1,711.75;19,211.50
Jan 1, 2022 9:00 AM;Jan 1, 2022 10:00 AM;42,510.00;43,996.25;1,486.25;20,777.25
Jan 1, 2022 10:00 AM;Jan 1, 2022 11:00 AM;44,382.00;45,663.00;1,281.00;22,193.50
Jan 1, 2022 11:00 AM;Jan 1, 2022 12:00 PM;46,732.00;48,234.25;1,502.25;24,170.75
Jan 1, 2022 12:00 PM;Jan 1, 2022 1:00 PM;47,313.75;48,002.75;689.00;24,483.00
Jan 1, 2022 1:00 PM;Jan 1, 2022 2:00 PM;46,391.25;47,322.50;931.25;25,283.25
Jan 1, 2022 2:00 PM;Jan 1, 2022 3:00 PM;45,728.50;46,345.25;616.75;27,053.25
Jan 1, 2022 3:00 PM;Jan 1, 2022 4:00 PM;45,683.00;45,978.75;295.75;29,167.00
Jan 1, 2022 4:00 PM;Jan 1, 2022 5:00 PM;47,903.75;47,962.25;58.50;30,988.75
Jan 1, 2022 5:00 PM;Jan 1, 2022 6:00 PM;51,620.50;51,706.75;86.25;32,554.50
Jan 1, 2022 6:00 PM;Jan 1, 2022 7:00 PM;52,595.25;52,749.00;153.75;31,457.00
Jan 1, 2022 7:00 PM;Jan 1, 2022 8:00 PM;51,620.00;51,833.50;213.50;28,485.00
Jan 1, 2022 8:00 PM;Jan 1, 2022 9:00 PM;49,682.75;49,888.50;205.75;25,401.00
Jan 1, 2022 9:00 PM;Jan 1, 2022 10:00 PM;48,052.00;48,272.75;220.75;23,016.75
Jan 1, 2022 10:00 PM;Jan 1, 2022 11:00 PM;47,476.75;47,991.75;515.00;22,081.25
Jan 1, 2022 11:00 PM;Jan 2, 2022 12:00 AM;44,871.75;45,463.25;591.50;19,029.25
Jan 2, 2022 12:00 AM;Jan 2, 2022 1:00 AM;42,672.00;46,236.50;3,564.50;16,761.50
Jan 2, 2022 1:00 AM;Jan 2, 2022 2:00 AM;41,483.00;45,765.75;4,282.75;15,851.00
Jan 2, 2022 2:00 AM;Jan 2, 2022 3:00 AM;40,765.50;44,908.50;4,143.00;15,961.50
Jan 2, 2022 3:00 AM;Jan 2, 2022 4:00 AM;40,536.50;44,454.75;3,918.25;15,278.00
Jan 2, 2022 4:00 AM;Jan 2, 2022 5:00 AM;40,713.00;44,822.75;4,109.75;16,571.75
Jan 2, 2022 5:00 AM;Jan 2, 2022 6:00 AM;40,746.50;44,660.50;3,914.00;16,254.00
Jan 2, 2022 6:00 AM;Jan 2, 2022 7:00 AM;40,397.50;42,560.00;2,162.50;15,364.00
Jan 2, 2022 7:00 AM;Jan 2, 2022 8:00 AM;42,253.50;43,751.50;1,498.00;16,262.75
Jan 2, 2022 8:00 AM;Jan 2, 2022 9:00 AM;45,417.75;46,575.00;1,157.25;16,805.50
Jan 2, 2022 9:00 AM;Jan 2, 2022 10:00 AM;48,343.75;49,411.50;1,067.75;17,681.75
Jan 2, 2022 10:00 AM;Jan 2, 2022 11:00 AM;50,583.25;51,557.75;974.50;16,301.50
Jan 2, 2022 11:00 AM;Jan 2, 2022 12:00 PM;53,645.25;54,501.75;856.50;15,825.00
Jan 2, 2022 12:00 PM;Jan 2, 2022 1:00 PM;54,537.50;55,439.25;901.75;14,350.75
Jan 2, 2022 1:00 PM;Jan 2, 2022 2:00 PM;53,333.00;54,859.75;1,526.75;13,114.25
Jan 2, 2022 2:00 PM;Jan 2, 2022 3:00 PM;52,692.50;54,331.75;1,639.25;12,387.00
Jan 2, 2022 3:00 PM;Jan 2, 2022 4:00 PM;53,243.25;55,043.50;1,800.25;12,874.50
Jan 2, 2022 4:00 PM;Jan 2, 2022 5:00 PM;55,537.75;57,123.00;1,585.25;14,663.50
Jan 2, 2022 5:00 PM;Jan 2, 2022 6:00 PM;58,597.75;59,420.75;823.00;16,453.00
Jan 2, 2022 6:00 PM;Jan 2, 2022 7:00 PM;58,764.00;59,225.50;461.50;16,127.00
Jan 2, 2022 7:00 PM;Jan 2, 2022 8:00 PM;57,357.25;58,433.75;1,076.50;15,790.75
Jan 2, 2022 8:00 PM;Jan 2, 2022 9:00 PM;54,792.25;56,372.00;1,579.75;14,003.50
Jan 2, 2022 9:00 PM;Jan 2, 2022 10:00 PM;52,467.75;53,924.50;1,456.75;13,304.75
Jan 2, 2022 10:00 PM;Jan 2, 2022 11:00 PM;50,934.75;53,212.25;2,277.50;14,377.25
Jan 2, 2022 11:00 PM;Jan 3, 2022 12:00 AM;47,873.25;49,898.75;2,025.50;12,096.75
Jan 3, 2022 12:00 AM;Jan 3, 2022 1:00 AM;45,380.75;48,770.25;3,389.50;10,533.50
Jan 3, 2022 1:00 AM;Jan 3, 2022 2:00 AM;43,637.00;47,888.50;4,251.50;10,977.25
Jan 3, 2022 2:00 AM;Jan 3, 2022 3:00 AM;42,571.00;46,810.00;4,239.00;10,503.50
Jan 3, 2022 3:00 AM;Jan 3, 2022 4:00 AM;43,103.75;47,382.25;4,278.50;11,819.00
Jan 3, 2022 4:00 AM;Jan 3, 2022 5:00 AM;44,571.00;47,875.75;3,304.75;11,680.00
Jan 3, 2022 5:00 AM;Jan 3, 2022 6:00 AM;48,363.75;49,889.50;1,525.75;11,349.50
Jan 3, 2022 6:00 AM;Jan 3, 2022 7:00 AM;55,413.75;56,634.75;1,221.00;13,148.25
Jan 3, 2022 7:00 AM;Jan 3, 2022 8:00 AM;61,592.50;62,179.25;586.75;17,916.75
Jan 3, 2022 8:00 AM;Jan 3, 2022 9:00 AM;65,070.75;65,424.75;354.00;22,238.75
Jan 3, 2022 9:00 AM;Jan 3, 2022 10:00 AM;66,481.50;66,645.00;163.50;23,032.00
Jan 3, 2022 10:00 AM;Jan 3, 2022 11:00 AM;67,914.75;68,119.75;205.00;22,847.00
Jan 3, 2022 11:00 AM;Jan 3, 2022 12:00 PM;69,499.50;70,031.00;531.50;22,536.75
Jan 3, 2022 12:00 PM;Jan 3, 2022 1:00 PM;70,128.50;70,877.75;749.25;23,032.00
Jan 3, 2022 1:00 PM;Jan 3, 2022 2:00 PM;69,323.00;70,003.50;680.50;23,914.75
Jan 3, 2022 2:00 PM;Jan 3, 2022 3:00 PM;68,297.75;68,994.00;696.25;25,246.25
Jan 3, 2022 3:00 PM;Jan 3, 2022 4:00 PM;67,348.75;67,409.25;60.50;27,512.75
Jan 3, 2022 4:00 PM;Jan 3, 2022 5:00 PM;68,033.75;68,247.75;214.00;29,428.75
Jan 3, 2022 5:00 PM;Jan 3, 2022 6:00 PM;70,411.25;70,621.00;209.75;32,434.50
Jan 3, 2022 6:00 PM;Jan 3, 2022 7:00 PM;70,161.00;70,274.75;113.75;32,189.25
Jan 3, 2022 7:00 PM;Jan 3, 2022 8:00 PM;68,168.50;68,304.50;136.00;31,723.25
Jan 3, 2022 8:00 PM;Jan 3, 2022 9:00 PM;64,128.00;64,506.00;378.00;29,941.00
Jan 3, 2022 9:00 PM;Jan 3, 2022 10:00 PM;60,337.25;62,139.50;1,802.25;27,754.75
Jan 3, 2022 10:00 PM;Jan 3, 2022 11:00 PM;57,506.75;59,994.50;2,487.75;27,096.00
Jan 3, 2022 11:00 PM;Jan 4, 2022 12:00 AM;53,757.75;55,848.50;2,090.75;25,412.25
Jan 4, 2022 12:00 AM;Jan 4, 2022 1:00 AM;50,713.50;54,331.00;3,617.50;23,997.25
Jan 4, 2022 1:00 AM;Jan 4, 2022 2:00 AM;48,451.00;52,916.00;4,465.00;23,311.25
Jan 4, 2022 2:00 AM;Jan 4, 2022 3:00 AM;47,652.75;51,887.25;4,234.50;24,760.75
Jan 4, 2022 3:00 AM;Jan 4, 2022 4:00 AM;48,124.75;51,897.00;3,772.25;26,954.25
Jan 4, 2022 4:00 AM;Jan 4, 2022 5:00 AM;49,426.50;52,504.00;3,077.50;30,481.50
Jan 4, 2022 5:00 AM;Jan 4, 2022 6:00 AM;52,156.25;54,399.00;2,242.75;34,441.25
Jan 4, 2022 6:00 AM;Jan 4, 2022 7:00 AM;57,668.25;58,457.00;788.75;40,364.25
Jan 4, 2022 7:00 AM;Jan 4, 2022 8:00 AM;62,602.00;63,148.00;546.00;45,968.25
Jan 4, 2022 8:00 AM;Jan 4, 2022 9:00 AM;66,083.50;66,276.00;192.50;50,169.75
Jan 4, 2022 9:00 AM;Jan 4, 2022 10:00 AM;67,461.75;67,509.00;47.25;52,223.75
Jan 4, 2022 10:00 AM;Jan 4, 2022 11:00 AM;68,262.75;68,340.50;77.75;51,716.50
Jan 4, 2022 11:00 AM;Jan 4, 2022 12:00 PM;69,485.50;69,594.00;108.50;52,021.25
Jan 4, 2022 12:00 PM;Jan 4, 2022 1:00 PM;69,785.00;69,835.75;50.75;50,833.25
Jan 4, 2022 1:00 PM;Jan 4, 2022 2:00 PM;68,721.75;69,093.00;371.25;48,617.50
Jan 4, 2022 2:00 PM;Jan 4, 2022 3:00 PM;68,153.75;68,476.75;323.00;48,275.50
Jan 4, 2022 3:00 PM;Jan 4, 2022 4:00 PM;67,885.00;68,147.75;262.75;47,571.25
Jan 4, 2022 4:00 PM;Jan 4, 2022 5:00 PM;68,696.75;68,801.00;104.25;47,881.50
Jan 4, 2022 5:00 PM;Jan 4, 2022 6:00 PM;70,144.00;70,231.50;87.50;48,543.00
Jan 4, 2022 6:00 PM;Jan 4, 2022 7:00 PM;69,828.25;69,919.75;91.50;48,171.75
Jan 4, 2022 7:00 PM;Jan 4, 2022 8:00 PM;68,386.50;68,531.50;145.00;46,098.25
Jan 4, 2022 8:00 PM;Jan 4, 2022 9:00 PM;64,660.25;64,746.50;86.25;42,143.50
Jan 4, 2022 9:00 PM;Jan 4, 2022 10:00 PM;61,535.25;61,783.75;248.50;39,206.25
Jan 4, 2022 10:00 PM;Jan 4, 2022 11:00 PM;58,600.00;59,318.00;718.00;36,405.50
Jan 4, 2022 11:00 PM;Jan 5, 2022 12:00 AM;55,069.00;57,076.50;2,007.50;32,326.75
Jan 5, 2022 12:00 AM;Jan 5, 2022 1:00 AM;52,440.00;55,339.75;2,899.75;28,798.25
Jan 5, 2022 1:00 AM;Jan 5, 2022 2:00 AM;50,498.75;55,195.75;4,697.00;25,195.50
Jan 5, 2022 2:00 AM;Jan 5, 2022 3:00 AM;49,587.25;54,860.25;5,273.00;22,096.75
Jan 5, 2022 3:00 AM;Jan 5, 2022 4:00 AM;50,585.25;55,628.00;5,042.75;20,936.50
Jan 5, 2022 4:00 AM;Jan 5, 2022 5:00 AM;52,199.75;56,665.75;4,466.00;21,243.75
Jan 5, 2022 5:00 AM;Jan 5, 2022 6:00 AM;55,493.25;59,185.25;3,692.00;22,703.75
Jan 5, 2022 6:00 AM;Jan 5, 2022 7:00 AM;61,377.00;62,419.75;1,042.75;26,159.50
Jan 5, 2022 7:00 AM;Jan 5, 2022 8:00 AM;66,948.50;67,656.50;708.00;29,980.50
Jan 5, 2022 8:00 AM;Jan 5, 2022 9:00 AM;70,247.50;70,669.25;421.75;31,760.00
Jan 5, 2022 9:00 AM;Jan 5, 2022 10:00 AM;71,695.75;71,922.75;227.00;31,059.25
Jan 5, 2022 10:00 AM;Jan 5, 2022 11:00 AM;72,799.00;74,075.50;1,276.50;28,591.25
Jan 5, 2022 11:00 AM;Jan 5, 2022 12:00 PM;74,394.25;76,022.25;1,628.00;27,388.50
Jan 5, 2022 12:00 PM;Jan 5, 2022 1:00 PM;74,218.25;76,663.25;2,445.00;25,573.25
Jan 5, 2022 1:00 PM;Jan 5, 2022 2:00 PM;73,495.00;75,233.25;1,738.25;25,123.00
Jan 5, 2022 2:00 PM;Jan 5, 2022 3:00 PM;72,026.50;72,836.75;810.25;25,933.25
Jan 5, 2022 3:00 PM;Jan 5, 2022 4:00 PM;71,227.00;71,468.75;241.75;28,136.00
Jan 5, 2022 4:00 PM;Jan 5, 2022 5:00 PM;71,845.50;72,079.00;233.50;31,214.25
Jan 5, 2022 5:00 PM;Jan 5, 2022 6:00 PM;73,821.75;74,176.50;354.75;34,955.50
Jan 5, 2022 6:00 PM;Jan 5, 2022 7:00 PM;73,405.25;73,768.50;363.25;35,031.00
Jan 5, 2022 7:00 PM;Jan 5, 2022 8:00 PM;71,413.75;72,311.50;897.75;33,781.25
Jan 5, 2022 8:00 PM;Jan 5, 2022 9:00 PM;67,465.50;68,804.50;1,339.00;31,499.25
Jan 5, 2022 9:00 PM;Jan 5, 2022 10:00 PM;64,119.00;66,806.00;2,687.00;30,090.50
Jan 5, 2022 10:00 PM;Jan 5, 2022 11:00 PM;60,974.25;63,834.50;2,860.25;28,691.00
Jan 5, 2022 11:00 PM;Jan 6, 2022 12:00 AM;57,447.75;60,162.75;2,715.00;26,369.25
Jan 6, 2022 12:00 AM;Jan 6, 2022 1:00 AM;54,764.50;58,626.00;3,861.50;25,158.00
Jan 6, 2022 1:00 AM;Jan 6, 2022 2:00 AM;53,627.00;57,075.25;3,448.25;26,060.25
Jan 6, 2022 2:00 AM;Jan 6, 2022 3:00 AM;52,556.00;56,050.75;3,494.75;26,572.75
Jan 6, 2022 3:00 AM;Jan 6, 2022 4:00 AM;52,062.00;55,470.00;3,408.00;28,468.25
Jan 6, 2022 4:00 AM;Jan 6, 2022 5:00 AM;52,685.25;55,068.75;2,383.50;31,123.50
Jan 6, 2022 5:00 AM;Jan 6, 2022 6:00 AM;54,316.75;55,746.75;1,430.00;34,797.75
Jan 6, 2022 6:00 AM;Jan 6, 2022 7:00 AM;57,963.50;58,618.25;654.75;40,940.50
Jan 6, 2022 7:00 AM;Jan 6, 2022 8:00 AM;62,352.00;62,431.25;79.25;48,162.25
Jan 6, 2022 8:00 AM;Jan 6, 2022 9:00 AM;64,526.50;64,720.00;193.50;52,289.75
Jan 6, 2022 9:00 AM;Jan 6, 2022 10:00 AM;65,555.25;65,667.75;112.50;53,072.25
Jan 6, 2022 10:00 AM;Jan 6, 2022 11:00 AM;66,025.25;66,133.00;107.75;51,726.00
Jan 6, 2022 11:00 AM;Jan 6, 2022 12:00 PM;66,573.50;66,764.75;191.25;50,439.00
Jan 6, 2022 12:00 PM;Jan 6, 2022 1:00 PM;65,925.25;66,069.75;144.50;49,156.50
Jan 6, 2022 1:00 PM;Jan 6, 2022 2:00 PM;64,509.75;64,885.75;376.00;48,762.00
Jan 6, 2022 2:00 PM;Jan 6, 2022 3:00 PM;63,136.00;63,381.75;245.75;50,812.50
Jan 6, 2022 3:00 PM;Jan 6, 2022 4:00 PM;62,669.25;62,899.00;229.75;54,360.75
Jan 6, 2022 4:00 PM;Jan 6, 2022 5:00 PM;63,913.75;64,094.50;180.75;55,781.75
Jan 6, 2022 5:00 PM;Jan 6, 2022 6:00 PM;67,678.25;67,702.00;23.75;55,690.25
Jan 6, 2022 6:00 PM;Jan 6, 2022 7:00 PM;68,116.25;68,294.50;178.25;52,778.75
Jan 6, 2022 7:00 PM;Jan 6, 2022 8:00 PM;67,094.00;67,883.50;789.50;48,351.50
Jan 6, 2022 8:00 PM;Jan 6, 2022 9:00 PM;64,595.50;65,829.00;1,233.50;43,073.25
Jan 6, 2022 9:00 PM;Jan 6, 2022 10:00 PM;61,741.00;62,641.75;900.75;38,798.00
Jan 6, 2022 10:00 PM;Jan 6, 2022 11:00 PM;59,928.75;62,113.00;2,184.25;36,646.25
Jan 6, 2022 11:00 PM;Jan 7, 2022 12:00 AM;57,179.75;60,721.25;3,541.50;32,983.75
Jan 7, 2022 12:00 AM;Jan 7, 2022 1:00 AM;53,891.00;57,758.00;3,867.00;28,710.50
Jan 7, 2022 1:00 AM;Jan 7, 2022 2:00 AM;52,322.50;57,144.25;4,821.75;26,153.00
Jan 7, 2022 2:00 AM;Jan 7, 2022 3:00 AM;51,409.00;56,220.75;4,811.75;23,850.50
Jan 7, 2022 3:00 AM;Jan 7, 2022 4:00 AM;51,584.00;56,463.50;4,879.50;22,829.50
Jan 7, 2022 4:00 AM;Jan 7, 2022 5:00 AM;53,277.75;57,890.50;4,612.75;23,876.00
Jan 7, 2022 5:00 AM;Jan 7, 2022 6:00 AM;56,068.00;59,568.25;3,500.25;25,867.75
Jan 7, 2022 6:00 AM;Jan 7, 2022 7:00 AM;61,409.75;63,549.00;2,139.25;28,995.00
Jan 7, 2022 7:00 AM;Jan 7, 2022 8:00 AM;66,607.75;67,967.75;1,360.00;32,932.50
Jan 7, 2022 8:00 AM;Jan 7, 2022 9:00 AM;69,762.25;70,803.25;1,041.00;35,658.50
Jan 7, 2022 9:00 AM;Jan 7, 2022 10:00 AM;71,571.75;72,076.25;504.50;37,211.25
Jan 7, 2022 10:00 AM;Jan 7, 2022 11:00 AM;72,304.50;73,353.25;1,048.75;37,473.50
Jan 7, 2022 11:00 AM;Jan 7, 2022 12:00 PM;73,102.50;73,988.75;886.25;38,008.50
Jan 7, 2022 12:00 PM;Jan 7, 2022 1:00 PM;73,274.75;73,562.50;287.75;39,358.25
Jan 7, 2022 1:00 PM;Jan 7, 2022 2:00 PM;71,416.25;71,721.50;305.25;39,336.00
Jan 7, 2022 2:00 PM;Jan 7, 2022 3:00 PM;70,541.75;71,257.50;715.75;41,385.00
Jan 7, 2022 3:00 PM;Jan 7, 2022 4:00 PM;69,986.75;70,219.00;232.25;43,393.25
Jan 7, 2022 4:00 PM;Jan 7, 2022 5:00 PM;70,188.50;70,748.00;559.50;44,928.50
Jan 7, 2022 5:00 PM;Jan 7, 2022 6:00 PM;71,712.50;71,876.00;163.50;46,679.00
Jan 7, 2022 6:00 PM;Jan 7, 2022 7:00 PM;70,679.75;70,825.50;145.75;46,957.00
Jan 7, 2022 7:00 PM;Jan 7, 2022 8:00 PM;68,374.00;68,519.00;145.00;45,466.50
Jan 7, 2022 8:00 PM;Jan 7, 2022 9:00 PM;64,625.75;64,881.25;255.50;42,290.50
Jan 7, 2022 9:00 PM;Jan 7, 2022 10:00 PM;61,533.25;61,863.00;329.75;40,018.00
Jan 7, 2022 10:00 PM;Jan 7, 2022 11:00 PM;59,053.50;59,930.25;876.75;38,693.50
Jan 7, 2022 11:00 PM;Jan 8, 2022 12:00 AM;55,817.25;57,041.50;1,224.25;36,867.75
Jan 8, 2022 12:00 AM;Jan 8, 2022 1:00 AM;52,693.75;54,469.00;1,775.25;34,148.25
Jan 8, 2022 1:00 AM;Jan 8, 2022 2:00 AM;50,531.75;52,796.25;2,264.50;32,690.25
Jan 8, 2022 2:00 AM;Jan 8, 2022 3:00 AM;49,607.25;52,417.50;2,810.25;32,214.00
Jan 8, 2022 3:00 AM;Jan 8, 2022 4:00 AM;49,542.50;52,073.00;2,530.50;32,290.00
Jan 8, 2022 4:00 AM;Jan 8, 2022 5:00 AM;49,077.00;50,458.25;1,381.25;32,886.75
Jan 8, 2022 5:00 AM;Jan 8, 2022 6:00 AM;49,137.50;50,611.50;1,474.00;32,541.75
Jan 8, 2022 6:00 AM;Jan 8, 2022 7:00 AM;50,276.00;51,829.00;1,553.00;33,325.00
Jan 8, 2022 7:00 AM;Jan 8, 2022 8:00 AM;52,478.25;52,976.00;497.75;35,427.75
Jan 8, 2022 8:00 AM;Jan 8, 2022 9:00 AM;55,737.75;56,069.00;331.25;37,319.75
Jan 8, 2022 9:00 AM;Jan 8, 2022 10:00 AM;59,557.75;59,732.50;174.75;39,883.50
Jan 8, 2022 10:00 AM;Jan 8, 2022 11:00 AM;61,401.75;61,516.75;115.00;40,078.00
Jan 8, 2022 11:00 AM;Jan 8, 2022 12:00 PM;62,936.50;63,216.50;280.00;39,210.25
Jan 8, 2022 12:00 PM;Jan 8, 2022 1:00 PM;63,096.25;63,428.00;331.75;37,137.75
Jan 8, 2022 1:00 PM;Jan 8, 2022 2:00 PM;62,069.50;62,603.50;534.00;34,292.50
Jan 8, 2022 2:00 PM;Jan 8, 2022 3:00 PM;61,146.25;61,872.75;726.50;32,905.25
Jan 8, 2022 3:00 PM;Jan 8, 2022 4:00 PM;61,383.75;61,917.50;533.75;33,898.75
Jan 8, 2022 4:00 PM;Jan 8, 2022 5:00 PM;63,065.75;63,391.50;325.75;34,049.50
Jan 8, 2022 5:00 PM;Jan 8, 2022 6:00 PM;66,684.50;66,771.50;87.00;35,084.00
Jan 8, 2022 6:00 PM;Jan 8, 2022 7:00 PM;66,972.50;67,261.75;289.25;33,081.75
Jan 8, 2022 7:00 PM;Jan 8, 2022 8:00 PM;64,999.75;65,628.25;628.50;29,409.00
Jan 8, 2022 8:00 PM;Jan 8, 2022 9:00 PM;61,902.50;63,085.00;1,182.50;25,082.00
Jan 8, 2022 9:00 PM;Jan 8, 2022 10:00 PM;59,119.00;60,821.25;1,702.25;21,532.00
Jan 8, 2022 10:00 PM;Jan 8, 2022 11:00 PM;57,796.50;60,026.75;2,230.25;20,824.75
Jan 8, 2022 11:00 PM;Jan 9, 2022 12:00 AM;55,009.75;59,063.00;4,053.25;18,416.25
Jan 9, 2022 12:00 AM;Jan 9, 2022 1:00 AM;51,914.75;56,042.75;4,128.00;16,161.25
Jan 9, 2022 1:00 AM;Jan 9, 2022 2:00 AM;49,845.25;54,632.75;4,787.50;15,564.25
Jan 9, 2022 2:00 AM;Jan 9, 2022 3:00 AM;48,556.50;52,672.50;4,116.00;16,452.75
Jan 9, 2022 3:00 AM;Jan 9, 2022 4:00 AM;47,792.00;52,340.50;4,548.50;16,749.25
Jan 9, 2022 4:00 AM;Jan 9, 2022 5:00 AM;48,110.50;53,075.00;4,964.50;18,157.75
Jan 9, 2022 5:00 AM;Jan 9, 2022 6:00 AM;47,800.25;52,380.25;4,580.00;18,775.00
Jan 9, 2022 6:00 AM;Jan 9, 2022 7:00 AM;47,636.00;51,798.50;4,162.50;17,422.00
Jan 9, 2022 7:00 AM;Jan 9, 2022 8:00 AM;49,467.25;53,225.00;3,757.75;19,272.50
Jan 9, 2022 8:00 AM;Jan 9, 2022 9:00 AM;52,225.75;54,390.50;2,164.75;22,419.25
Jan 9, 2022 9:00 AM;Jan 9, 2022 10:00 AM;56,078.50;57,505.75;1,427.25;26,551.75
Jan 9, 2022 10:00 AM;Jan 9, 2022 11:00 AM;58,455.75;59,288.25;832.50;29,021.00
Jan 9, 2022 11:00 AM;Jan 9, 2022 12:00 PM;60,550.00;60,962.00;412.00;31,025.75
Jan 9, 2022 12:00 PM;Jan 9, 2022 1:00 PM;60,478.75;60,665.00;186.25;32,392.00
Jan 9, 2022 1:00 PM;Jan 9, 2022 2:00 PM;58,535.25;58,779.50;244.25;32,333.75
Jan 9, 2022 2:00 PM;Jan 9, 2022 3:00 PM;57,184.00;57,354.75;170.75;34,077.00
Jan 9, 2022 3:00 PM;Jan 9, 2022 4:00 PM;56,608.00;56,836.00;228.00;36,532.25
Jan 9, 2022 4:00 PM;Jan 9, 2022 5:00 PM;58,160.00;58,519.00;359.00;40,052.75
Jan 9, 2022 5:00 PM;Jan 9, 2022 6:00 PM;61,580.25;61,738.25;158.00;44,943.50
Jan 9, 2022 6:00 PM;Jan 9, 2022 7:00 PM;62,196.75;62,366.25;169.50;46,898.50
Jan 9, 2022 7:00 PM;Jan 9, 2022 8:00 PM;60,316.25;60,480.25;164.00;45,941.00
Jan 9, 2022 8:00 PM;Jan 9, 2022 9:00 PM;57,628.50;58,083.00;454.50;44,148.50
Jan 9, 2022 9:00 PM;Jan 9, 2022 10:00 PM;55,441.25;55,650.00;208.75;43,107.75
Jan 9, 2022 10:00 PM;Jan 9, 2022 11:00 PM;54,540.25;55,100.75;560.50;43,646.00
Jan 9, 2022 11:00 PM;Jan 10, 2022 12:00 AM;51,787.25;53,043.25;1,256.00;42,039.00
Jan 10, 2022 12:00 AM;Jan 10, 2022 1:00 AM;49,764.75;52,500.00;2,735.25;41,467.75
Jan 10, 2022 1:00 AM;Jan 10, 2022 2:00 AM;48,278.25;51,345.50;3,067.25;41,213.50
Jan 10, 2022 2:00 AM;Jan 10, 2022 3:00 AM;47,959.75;51,510.50;3,550.75;41,977.00
Jan 10, 2022 3:00 AM;Jan 10, 2022 4:00 AM;48,291.25;51,276.50;2,985.25;43,317.25
Jan 10, 2022 4:00 AM;Jan 10, 2022 5:00 AM;49,757.25;52,362.75;2,605.50;45,481.50
Jan 10, 2022 5:00 AM;Jan 10, 2022 6:00 AM;53,655.75;55,648.50;1,992.75;49,800.50
Jan 10, 2022 6:00 AM;Jan 10, 2022 7:00 AM;61,564.00;62,001.75;437.75;58,140.75
Jan 10, 2022 7:00 AM;Jan 10, 2022 8:00 AM;68,049.75;68,213.75;164.00;64,799.00
Jan 10, 2022 8:00 AM;Jan 10, 2022 9:00 AM;71,608.25;71,721.75;113.50;68,369.75
Jan 10, 2022 9:00 AM;Jan 10, 2022 10:00 AM;71,868.00;71,989.00;121.00;67,729.00
Jan 10, 2022 10:00 AM;Jan 10, 2022 11:00 AM;72,100.25;72,238.50;138.25;66,381.50
Jan 10, 2022 11:00 AM;Jan 10, 2022 12:00 PM;72,512.75;72,520.00;7.25;65,571.50
Jan 10, 2022 12:00 PM;Jan 10, 2022 1:00 PM;72,629.75;72,647.75;18.00;65,434.25
Jan 10, 2022 1:00 PM;Jan 10, 2022 2:00 PM;71,828.25;71,876.50;48.25;65,255.00
Jan 10, 2022 2:00 PM;Jan 10, 2022 3:00 PM;70,646.25;70,704.25;58.00;65,623.50
Jan 10, 2022 3:00 PM;Jan 10, 2022 4:00 PM;70,225.75;70,382.00;156.25;67,137.50
Jan 10, 2022 4:00 PM;Jan 10, 2022 5:00 PM;70,504.00;70,568.50;64.50;68,467.50
Jan 10, 2022 5:00 PM;Jan 10, 2022 6:00 PM;73,159.25;73,240.75;81.50;70,964.00
Jan 10, 2022 6:00 PM;Jan 10, 2022 7:00 PM;73,017.00;73,057.50;40.50;70,365.25
Jan 10, 2022 7:00 PM;Jan 10, 2022 8:00 PM;71,270.50;71,392.50;122.00;68,170.00
Jan 10, 2022 8:00 PM;Jan 10, 2022 9:00 PM;67,250.25;67,493.00;242.75;64,033.25
Jan 10, 2022 9:00 PM;Jan 10, 2022 10:00 PM;63,507.25;64,093.75;586.50;60,204.00
Jan 10, 2022 10:00 PM;Jan 10, 2022 11:00 PM;60,594.50;61,987.25;1,392.75;57,203.00
Jan 10, 2022 11:00 PM;Jan 11, 2022 12:00 AM;57,059.25;59,698.00;2,638.75;53,419.75
Jan 11, 2022 12:00 AM;Jan 11, 2022 1:00 AM;55,215.50;60,149.50;4,934.00;51,053.00
Jan 11, 2022 1:00 AM;Jan 11, 2022 2:00 AM;53,613.50;58,674.00;5,060.50;49,243.75
Jan 11, 2022 2:00 AM;Jan 11, 2022 3:00 AM;53,135.00;58,330.50;5,195.50;48,828.75
Jan 11, 2022 3:00 AM;Jan 11, 2022 4:00 AM;53,178.00;58,065.25;4,887.25;48,616.75
